Species,Latitude,meanLH,d13C,x,yb,yc
Prionace glauca,48.05,-21.84934957,-18.231,5333.55,-21.84934957,-18.231
Prionace glauca,48.011,-21.84934957,-18.371,5329.221,-21.84934957,-18.371
Prionace glauca,48.011,-21.84934957,-17.534,5329.221,-21.84934957,-17.534
Prionace glauca,48.011,-21.84934957,-17.541,5329.221,-21.84934957,-17.541
Prionace glauca,47.922,-21.84934957,-17.834,5319.342,-21.84934957,-17.834
Prionace glauca,47.886,-21.84934957,-18.199,5315.346,-21.84934957,-18.199
Prionace glauca,47.772,-21.84934957,-18.074,5302.692,-21.84934957,-18.074
Prionace glauca,47.753,-21.92491079,-17.581,5300.583,-21.92491079,-17.581
Prionace glauca,47.733,-21.84934957,-17.627,5298.363,-21.84934957,-17.627
Prionace glauca,47.733,-21.84934957,-17.458,5298.363,-21.84934957,-17.458
Prionace glauca,47.708,-21.92491079,-18.051,5295.588,-21.92491079,-18.051
Prionace glauca,47.706,-21.84934957,-18.22,5295.366,-21.84934957,-18.22
Prionace glauca,47.706,-21.84934957,-17.607,5295.366,-21.84934957,-17.607
Prionace glauca,47.706,-21.84934957,-18.339,5295.366,-21.84934957,-18.339
Prionace glauca,47.656,-21.84934957,-18.197,5289.816,-21.84934957,-18.197
Prionace glauca,47.644,-21.92491079,-17.954,5288.484,-21.92491079,-17.954
Prionace glauca,47.499,-21.84934957,-17.906,5272.389,-21.84934957,-17.906
Prionace glauca,47.369,-21.84934957,-17.655,5257.959,-21.84934957,-17.655
Prionace glauca,47.369,-21.84934957,-18.298,5257.959,-21.84934957,-18.298
Prionace glauca,47.203,-21.84934957,-17.76,5239.533,-21.84934957,-17.76
Prionace glauca,47.203,-21.84934957,-18.619,5239.533,-21.84934957,-18.619
Prionace glauca,47.184,-21.84934957,-17.688,5237.424,-21.84934957,-17.688
Prionace glauca,47.184,-21.84934957,-18.059,5237.424,-21.84934957,-18.059
Prionace glauca,47.163,-21.84934957,-17.534,5235.093,-21.84934957,-17.534
Prionace glauca,47.163,-21.84934957,-18.354,5235.093,-21.84934957,-18.354
Prionace glauca,47.163,-21.84934957,-17.919,5235.093,-21.84934957,-17.919
Prionace glauca,47.163,-21.84934957,-17.98,5235.093,-21.84934957,-17.98
Prionace glauca,47.154,-21.84934957,-17.753,5234.094,-21.84934957,-17.753
Prionace glauca,47.154,-21.84934957,-17.92,5234.094,-21.84934957,-17.92
Prionace glauca,47.154,-21.84934957,-17.77,5234.094,-21.84934957,-17.77
Prionace glauca,47.139,-21.84934957,-17.957,5232.429,-21.84934957,-17.957
Prionace glauca,47.139,-21.84934957,-18.289,5232.429,-21.84934957,-18.289
Prionace glauca,47.139,-21.84934957,-18.101,5232.429,-21.84934957,-18.101
Prionace glauca,47.137,-21.84934957,-17.388,5232.207,-21.84934957,-17.388
Prionace glauca,47.137,-21.84934957,-17.907,5232.207,-21.84934957,-17.907
Prionace glauca,47.137,-21.84934957,-18.551,5232.207,-21.84934957,-18.551
