Species,Latitude,meanLH,d13C,x,yb,yc
Scyliorhinus canicula,54.799,-21.92491079,-16.355,6082.689,-21.92491079,-16.355
Scyliorhinus canicula,54.799,-21.92491079,-14.873,6082.689,-21.92491079,-14.873
Scyliorhinus canicula,54.799,-21.92491079,-16.068,6082.689,-21.92491079,-16.068
Scyliorhinus canicula,53.815,-21.92491079,-15.634,5973.465,-21.92491079,-15.634
Scyliorhinus canicula,53.463,-21.92491079,-17.844,5934.393,-21.92491079,-17.844
Scyliorhinus canicula,52.53,-21.92491079,-16.933,5830.83,-21.92491079,-16.933
Scyliorhinus canicula,52.53,-21.92491079,-15.963,5830.83,-21.92491079,-15.963
Scyliorhinus canicula,52.53,-21.92491079,-15.625,5830.83,-21.92491079,-15.625
Scyliorhinus canicula,52.53,-21.92491079,-15.434,5830.83,-21.92491079,-15.434
Scyliorhinus canicula,52.53,-21.92491079,-16.046,5830.83,-21.92491079,-16.046
Scyliorhinus canicula,52.53,-21.92491079,-15.939,5830.83,-21.92491079,-15.939
Scyliorhinus canicula,52.53,-21.92491079,-15.745,5830.83,-21.92491079,-15.745
Scyliorhinus canicula,52.53,-21.92491079,-16.823,5830.83,-21.92491079,-16.823
Scyliorhinus canicula,52.53,-21.92491079,-15.711,5830.83,-21.92491079,-15.711
Scyliorhinus canicula,51.279,-21.92491079,-16.758,5691.969,-21.92491079,-16.758
Scyliorhinus canicula,51.279,-21.92491079,-16.222,5691.969,-21.92491079,-16.222
Scyliorhinus canicula,51.279,-21.92491079,-16.574,5691.969,-21.92491079,-16.574
Scyliorhinus canicula,51.279,-21.92491079,-16.225,5691.969,-21.92491079,-16.225
Scyliorhinus canicula,51.279,-21.92491079,-15.923,5691.969,-21.92491079,-15.923
Scyliorhinus canicula,51.279,-21.92491079,-16.533,5691.969,-21.92491079,-16.533
Scyliorhinus canicula,51.279,-21.92491079,-16.884,5691.969,-21.92491079,-16.884
Scyliorhinus canicula,51.279,-21.92491079,-17.137,5691.969,-21.92491079,-17.137
Scyliorhinus canicula,51.279,-21.92491079,-16.82,5691.969,-21.92491079,-16.82
Scyliorhinus canicula,51.279,-21.92491079,-17.325,5691.969,-21.92491079,-17.325
Scyliorhinus canicula,51.279,-21.92491079,-16.475,5691.969,-21.92491079,-16.475
Scyliorhinus canicula,51.279,-21.92491079,-16.511,5691.969,-21.92491079,-16.511
Scyliorhinus canicula,51.279,-21.92491079,-16.078,5691.969,-21.92491079,-16.078
Scyliorhinus canicula,51.279,-21.92491079,-16.044,5691.969,-21.92491079,-16.044
Scyliorhinus canicula,51.279,-21.92491079,-16.874,5691.969,-21.92491079,-16.874
Scyliorhinus canicula,51.245,-21.92491079,-16.3,5688.195,-21.92491079,-16.3
Scyliorhinus canicula,51.245,-21.92491079,-16.65,5688.195,-21.92491079,-16.65
Scyliorhinus canicula,51.245,-21.92491079,-16.54,5688.195,-21.92491079,-16.54
Scyliorhinus canicula,51.245,-21.92491079,-16.17,5688.195,-21.92491079,-16.17
Scyliorhinus canicula,51.11333,-21.92491079,-16.3,5673.57963,-21.92491079,-16.3
Scyliorhinus canicula,51.04167,-21.92491079,-16.97,5665.62537,-21.92491079,-16.97
Scyliorhinus canicula,51.04167,-21.92491079,-16.11,5665.62537,-21.92491079,-16.11
Scyliorhinus canicula,51.04167,-21.92491079,-16.66,5665.62537,-21.92491079,-16.66
Scyliorhinus canicula,51.04167,-21.92491079,-16.33,5665.62537,-21.92491079,-16.33
Scyliorhinus canicula,51.04167,-21.92491079,-16.07,5665.62537,-21.92491079,-16.07
Scyliorhinus canicula,51.04167,-21.92491079,-15.73,5665.62537,-21.92491079,-15.73
Scyliorhinus canicula,51.04167,-21.92491079,-15.86,5665.62537,-21.92491079,-15.86
Scyliorhinus canicula,51.04167,-21.92491079,-15.8,5665.62537,-21.92491079,-15.8
Scyliorhinus canicula,51.04167,-21.92491079,-16.88,5665.62537,-21.92491079,-16.88
Scyliorhinus canicula,51.04167,-21.92491079,-16.2,5665.62537,-21.92491079,-16.2
Scyliorhinus canicula,51.04167,-21.92491079,-15.41,5665.62537,-21.92491079,-15.41
Scyliorhinus canicula,51.02833,-21.92491079,-16.19,5664.14463,-21.92491079,-16.19
Scyliorhinus canicula,51.02833,-21.92491079,-16.27,5664.14463,-21.92491079,-16.27
Scyliorhinus canicula,51.02833,-21.92491079,-16.46,5664.14463,-21.92491079,-16.46
Scyliorhinus canicula,50.88,-21.92491079,-15.48,5647.68,-21.92491079,-15.48
